uniqsubs,actvsubs,new_cell,asl_flag,totcalls,totmou,totrev,adjrev,adjmou,adjqty,avgrev,avgmou,avgqty,avg3mou,avg3qty,avg3rev,avg6mou,avg6qty,avg6rev,prizm_social_one,area,dualband,refurb_new,hnd_price,phones,models,hnd_webcap,truck,rv,forgntvl,kid0_2,kid3_5,kid6_10,kid11_15,kid16_17,creditcd,eqpdays,rev_Mean,mou_Mean,totmrc_Mean,da_Mean,ovrmou_Mean,ovrrev_Mean,vceovr_Mean,datovr_Mean,roam_Mean,change_mou,change_rev,drop_vce_Mean,drop_dat_Mean,blck_vce_Mean,blck_dat_Mean,unan_vce_Mean,unan_dat_Mean,plcd_vce_Mean,plcd_dat_Mean,recv_vce_Mean,recv_sms_Mean,comp_vce_Mean,comp_dat_Mean,custcare_Mean,ccrndmou_Mean,cc_mou_Mean,inonemin_Mean,threeway_Mean,mou_cvce_Mean,mou_cdat_Mean,mou_rvce_Mean,owylis_vce_Mean,mouowylisv_Mean,iwylis_vce_Mean,mouiwylisv_Mean,peak_vce_Mean,peak_dat_Mean,mou_peav_Mean,mou_pead_Mean,opk_vce_Mean,opk_dat_Mean,mou_opkv_Mean,mou_opkd_Mean,drop_blk_Mean,attempt_Mean,complete_Mean,callfwdv_Mean,callwait_Mean,months,handset_months,hs_bin,usage_trend,revenue_trend,overage_share,dropblk_rate,care_per_mou,rev_per_sub
3,2,0.0,0.0,10883,17962.0,2207.29,2147.88,17960.0,10881,107.39,898.0,544.05,1014,615,122,1093.0,645.0,193.0,0.0,0.0,0.0,0.0,399.9899902,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.0,115.6025,1066.0,95.3925,1.485,43.5,17.4,17.4,0.0,0.0,157.0,-17.6425,35.66666667,0.0,2.333333333,0.0,55.0,0.0,391.6666667,0.0,336.0,0.0,316.3333333,0.0,0.0,0.0,0.0,209.3333333,0.0,285.4666667,0.0,317.66,104.6666667,61.71333333,64.33333333,57.78333333,362.0,0.0,407.8566667,0.0,237.3333333,0.0,195.27,0.0,38.0,391.6666667,316.3333333,0.0,7.666666667,21,13.2,0.0,0.1471415182755389,-0.15130464612679828,0.14922493085482727,0.09677419354017197,0.0,28.900625
1,1,0.0,0.0,1971,4692.0,752.37,737.0,4574.0,1932,36.85,228.7,96.6,169,85,35,171.0,90.0,36.0,0.0,0.0,0.0,0.0,29.98999023,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.0,35.34,168.25,34.99,0.0,1.0,0.35,0.35,0.0,0.0,-2.25,-0.35,2.666666667,0.0,1.666666667,0.0,32.0,0.0,86.0,0.0,26.33333333,0.0,50.66666667,0.0,0.0,0.0,0.0,10.0,0.0,52.45333333,0.0,47.95,11.66666667,7.04,4.666666667,9.856666667,49.33333333,0.0,69.52,0.0,26.66666667,0.0,30.88333333,0.0,4.333333333,86.0,50.66666667,0.0,0.333333333,22,22.1,0.0,-0.013293943870014771,-0.009631260319207482,0.009631260319207482,0.04980842911494252,0.0,17.67
2,2,0.0,0.0,2208,5877.0,351.78,311.79,5874.0,2206,19.49,367.13,137.88,591,255,19,466.0,185.0,16.0,0.0,0.0,0.0,0.0,149.9899902,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.0,29.6025,788.0,10.0,3.96,74.25,18.5625,18.5625,0.0,0.78,592.0,32.1275,3.0,0.0,15.0,0.0,64.66666667,0.0,262.0,0.0,74.0,0.0,180.0,0.0,0.0,0.0,0.0,26.66666667,0.0,219.28,0.0,171.85,29.33333333,27.67666667,13.0,40.37666667,138.6666667,0.0,216.7233333,0.0,114.6666667,0.0,174.41,0.0,18.0,262.0,180.0,0.0,5.0,17,16.966666666666665,0.0,0.7503168567807351,1.049832530022057,0.6065680908422515,0.06844106463878327,0.0,9.8675
1,1,0.0,0.0,5350,7991.0,1554.31,1484.33,7926.0,5299,134.94,720.55,481.73,0,0,39,345.0,239.0,78.0,0.0,0.0,0.0,0.0,149.9899902,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,38.33,0.0,49.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,12.4,0.0,0.0,-0.008644800406814137,0.0,0.0,0.0,19.165
4,2,0.0,0.0,1396,4983.0,789.03,738.14,4889.0,1374,67.1,444.45,124.91,229,72,51,266.0,78.0,51.0,0.0,0.0,0.0,0.0,199.9899902,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,50.875,209.5,59.99,0.495,0.0,0.0,0.0,0.0,0.39,-59.5,-0.885,1.0,0.0,0.333333333,0.0,7.333333333,0.0,29.0,0.0,6.333333333,0.0,20.66666667,0.0,0.0,0.0,0.0,2.0,0.0,44.7,0.0,20.06666667,5.666666667,2.946666667,0.0,0.0,17.0,0.0,40.18666667,0.0,9.666666667,0.0,24.58,0.0,1.333333333,29.0,20.66666667,0.0,0.0,12,1.6333333333333333,0.0,-0.2826603325415677,-0.017060240963855423,0.0,0.04444444443333333,0.0,10.175
2,2,0.0,0.0,23362,63366.03,4454.32,4353.67,63124.03,23277,85.37,1237.73,456.41,1514,509,90,1454.0,499.0,90.0,0.0,0.0,0.0,0.0,9.989997864,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583.0,86.775,1320.75,75.0,0.0,68.25,6.825,6.825,0.0,2.7,-580.75,-9.825,21.66666667,0.0,2.333333333,0.0,58.0,0.0,491.3333333,0.0,60.0,0.0,413.3333333,0.0,0.0,0.0,0.0,27.0,0.0,940.41,0.0,189.53,49.0,146.5466667,5.333333333,23.16333333,455.0,0.0,1121.963333,0.0,4.0,0.0,7.976666667,0.0,24.0,491.3333333,413.3333333,0.0,5.666666667,52,19.433333333333334,0.0,-0.43937961036504636,-0.11193392195955566,0.07775562517801196,0.04874746107303639,0.0,28.925
1,1,0.0,0.0,183,414.0,303.51,298.78,407.0,179,12.99,17.7,7.78,3,1,20,5.0,3.0,20.0,0.0,0.0,0.0,0.0,29.98999023,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.0,19.99,2.0,19.99,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,24.366666666666667,0.0,-0.6666666666666666,0.0,0.0,0.0,0.0,9.995
2,2,0.0,0.0,936,3565.0,741.91,661.03,3565.0,936,73.45,396.11,104.0,663,162,76,451.0,110.0,63.0,0.0,0.0,0.0,0.0,79.98999023,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,66.66,545.75,39.91,0.0,79.25,26.75,26.75,0.0,0.0,-352.75,-26.67,12.0,0.0,10.33333333,0.0,39.0,0.0,181.0,0.0,29.33333333,0.0,121.6666667,0.0,1.0,5.333333333,4.633333333,8.666666667,0.0,388.18,0.0,98.23,22.33333333,27.75,8.0,25.34,72.33333333,0.0,226.3066667,0.0,76.33333333,0.0,260.1033333,0.0,22.33333333,181.0,121.6666667,0.0,5.0,10,2.433333333333333,0.0,-0.6451760402377686,-0.39417676618386055,0.3953591486845995,0.12271062269230769,0.001828989483310471,22.22
1,1,0.0,0.0,117,229.0,1971.46,1893.94,219.0,113,40.3,4.66,2.4,1,1,37,1.0,1.0,37.0,0.0,0.0,0.0,0.0,29.98999023,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1471.0,37.1525,4.0,41.395,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0475,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.333333333,0.006666667,0.0,0.0,0.666666667,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,0.666666667,0.0,0.0,48,49.03333333333333,0.0,1.8,0.027455605792543084,0.0,0.0,0.0,18.57625
1,1,0.0,0.0,9245,19722.0,3180.9,3090.9,19546.0,9142,154.55,977.3,457.1,2954,1246,441,2609.0,1085.0,388.0,0.0,0.0,0.0,0.0,29.98999023,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,395.4475,2765.75,135.795,2.2275,738.0,232.2,232.2,0.0,37.435,-565.75,-136.8475,42.33333333,0.0,6.0,0.0,186.6666667,0.0,1021.666667,0.0,425.3333333,0.0,800.0,0.0,0.666666667,3.333333333,2.96,210.3333333,1.333333333,1144.913333,0.0,713.9,143.6666667,110.26,3.333333333,6.076666667,911.0,0.0,1489.103333,0.0,219.0,0.0,369.71,0.0,48.33333333,1021.666667,800.0,0.0,39.0,22,2.2666666666666666,0.0,-0.20448179271708683,-0.3451844191223302,0.5857017637896569,0.04726205995526009,0.00024095659781331888,197.72375
1,1,0.0,0.0,9063,24259.0,4470.13,4430.3,24189.0,9022,126.58,691.11,257.77,1563,603,232,1617.0,624.0,292.0,0.0,0.0,0.0,0.0,199.9899902,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,193.1075,1384.75,89.4475,2.2275,395.5,118.65,118.65,0.0,0.0975,-534.75,-116.1375,13.66666667,0.0,0.333333333,0.0,74.33333333,0.0,411.6666667,0.0,208.0,0.0,330.6666667,0.0,0.0,0.0,0.0,89.0,0.666666667,486.0633333,0.0,467.24,105.0,111.4233333,22.66666667,44.33,241.6666667,0.0,575.1266667,0.0,258.0,0.0,378.1766667,0.0,14.0,411.6666667,330.6666667,0.0,10.0,36,12.6,0.0,-0.38589211618257263,-0.5983153664850663,0.6112592249140296,0.03392568658853589,0.0,96.55375
3,3,0.0,0.0,4427,14047.0,2392.66,2341.92,13860.0,4347,80.76,477.93,149.9,529,156,102,474.0,132.0,89.0,0.0,0.0,0.0,0.0,29.98999023,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1077.0,95.7875,505.75,85.0,2.475,73.25,18.3125,18.3125,0.0,0.0,-69.75,-19.7975,1.333333333,0.0,0.666666667,0.0,19.0,0.0,106.0,0.0,40.66666667,0.0,85.0,0.0,0.0,0.0,0.0,13.66666667,0.0,148.5533333,0.0,145.8366667,20.66666667,22.99666667,2.666666667,8.896666667,100.6666667,0.0,251.8766667,0.0,22.33333333,0.0,42.51333333,0.0,2.0,106.0,85.0,0.0,0.0,36,35.9,0.0,-0.13764183522446966,-0.2045460415859486,0.18920315123337209,0.018691588785046728,0.0,23.946875
2,1,0.0,0.0,317,602.0,212.9,165.5,561.0,296,23.64,80.14,42.29,55,33,17,75.0,42.0,23.0,0.0,0.0,0.0,0.0,29.98999023,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,16.315,58.0,15.0,0.99,0.0,0.0,0.0,0.0,0.0,10.0,-1.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8.366666666666667,0.0,0.1694915254237288,-0.07594571181056886,0.0,0.0,0.0,5.4383333333333335
3,1,0.0,0.0,4177,10295.0,1183.13,1127.29,10099.0,4104,112.73,1009.9,410.4,1103,412,118,1029.0,415.0,118.0,0.0,0.0,0.0,0.0,149.9899902,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,108.13,1088.25,77.6975,3.96,123.5,37.4725,37.375,0.0975,0.0,-45.25,-29.14,26.33333333,0.0,3.0,0.0,66.33333333,0.0,382.3333333,0.333333333,132.3333333,0.0,289.6666667,0.333333333,0.0,0.0,0.0,74.0,0.666666667,581.12,0.01,212.1433333,11.33333333,9.496666667,1.0,1.196666667,235.3333333,0.0,514.02,0.0,168.6666667,0.333333333,279.2433333,0.01,29.33333333,382.6666667,290.0,0.0,6.333333333,11,7.433333333333334,0.0,-0.04154234565067707,-0.2670209841473472,0.34337487400348204,0.07645525628353994,0.0,27.0325
1,1,0.0,0.0,942,2317.0,782.6,747.77,2313.0,938,33.99,105.14,42.64,64,29,31,81.0,36.0,33.0,0.0,0.0,0.0,0.0,29.98999023,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702.0,30.26,52.75,29.99,0.0,0.0,0.0,0.0,0.0,0.0,-34.75,-0.27,1.0,0.0,0.0,0.0,0.666666667,0.0,24.33333333,0.0,0.333333333,0.0,22.66666667,0.0,0.0,0.0,0.0,0.0,0.333333333,34.72666667,0.0,0.44,3.666666667,3.163333333,0.0,0.0,17.0,0.0,29.18666667,0.0,6.0,0.0,5.98,0.0,1.0,24.33333333,22.66666667,0.0,0.0,23,23.4,0.0,-0.6465116279069767,-0.008637236084452975,0.0,0.03947368421572022,0.0,15.13
1,1,0.0,0.0,276,1230.0,337.12,266.51,1056.0,240,44.42,176.0,40.0,111,32,36,176.0,40.0,45.0,0.0,0.0,0.0,0.0,149.9899902,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,36.1525,139.25,44.99,0.7425,0.0,0.0,0.0,0.0,0.0,85.75,0.5175,3.333333333,0.0,1.333333333,0.0,6.666666667,0.0,61.66666667,0.0,2.333333333,0.0,50.66666667,0.0,0.0,0.0,0.0,2.0,0.0,115.1933333,0.0,0.183333333,0.333333333,0.01,0.0,0.0,17.0,0.0,46.63666667,0.0,34.0,0.0,68.74,0.0,4.666666667,61.66666667,50.66666667,0.0,0.0,7,7.433333333333334,0.0,0.6114081996434938,0.013929076105241906,0.0,0.07446808510774107,0.0,18.07625
2,1,0.0,0.0,205,588.0,505.67,485.39,585.0,204,21.1,25.43,8.87,32,15,22,24.0,11.0,20.0,0.0,0.0,0.0,0.0,29.98999023,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.0,20.63,24.75,16.99,0.0,6.75,2.3625,2.3625,0.0,0.64,-20.75,-3.0,1.666666667,0.0,0.0,0.0,3.0,0.0,17.33333333,0.0,1.333333333,0.0,12.66666667,0.0,0.0,0.0,0.0,1.333333333,0.0,13.06,0.0,0.533333333,0.0,0.0,0.0,0.0,7.333333333,0.0,5.426666667,0.0,6.666666667,0.0,8.166666667,0.0,1.666666667,17.33333333,12.66666667,0.0,0.0,24,23.833333333333332,0.0,-0.8058252427184466,-0.13869625520110956,0.10922330097087378,0.09090909094380166,0.0,6.876666666666666
1,1,0.0,0.0,343,785.0,446.74,414.74,772.0,341,20.74,38.6,17.05,14,8,19,21.0,13.0,21.0,0.0,0.0,0.0,0.0,29.98999023,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.0,18.39,10.5,16.99,0.0,4.0,1.4,1.4,0.0,0.0,-10.5,-1.4,0.333333333,0.0,0.0,0.0,7.666666667,0.0,13.66666667,0.0,0.0,0.0,5.666666667,0.0,0.0,0.0,0.0,0.0,0.0,6.906666667,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.146666667,0.0,2.666666667,0.0,2.76,0.0,0.333333333,13.66666667,5.666666667,0.0,0.0,21,21.3,0.0,-0.9130434782608695,-0.07220216606498195,0.07220216606498195,0.022727272699380168,0.0,9.195
1,1,0.0,0.0,3306,12052.0,549.45,463.57,12030.0,3297,51.51,1336.67,366.33,1418,365,51,1334.0,355.0,51.0,0.0,0.0,0.0,0.0,129.9899902,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,51.08,1457.75,69.99,0.0,2.75,1.09,0.7,0.39,0.0,120.25,-1.09,0.666666667,0.0,10.33333333,0.0,89.0,0.0,354.0,1.0,96.0,0.0,254.0,1.0,21.66666667,26.33333333,15.83333333,49.66666667,0.0,1049.906667,0.7,171.0933333,40.0,74.12333333,29.33333333,68.86333333,116.0,1.0,282.7766667,0.7,234.0,0.0,938.23,0.0,11.0,355.0,255.0,0.0,5.0,10,2.8666666666666667,0.0,0.08243359040274208,-0.020929339477726575,0.020929339477726575,0.03089887640449438,0.014852899173950301,25.54
1,1,0.0,0.0,382,1754.0,481.05,421.06,1754.0,382,38.28,159.45,34.73,20,9,31,35.0,11.0,33.0,0.0,0.0,0.0,0.0,79.98999023,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,32.8675,65.0,30.0,0.495,0.0,0.0,0.0,0.0,0.0,135.0,6.3125,2.333333333,0.0,0.333333333,0.0,8.0,0.0,30.0,0.0,6.666666667,0.0,19.33333333,0.0,0.666666667,1.0,0.733333333,4.333333333,0.333333333,19.63,0.0,7.383333333,8.0,10.49333333,0.0,0.0,6.0,0.0,4.936666667,0.0,17.0,0.0,22.07666667,0.0,2.666666667,30.0,19.33333333,0.0,0.0,12,11.866666666666667,0.0,2.0454545454545454,0.18638813021333137,0.0,0.08602150538709677,0.010101010106060605,16.43375
